
活动连接

  协议  本地地址          外部地址        状态           PID
  UDP    0.0.0.0:5050           *:*                                    7912
  UDP    0.0.0.0:5353           *:*                                    27420
  UDP    0.0.0.0:5353           *:*                                    21856
  UDP    0.0.0.0:5353           *:*                                    21856
  UDP    0.0.0.0:5353           *:*                                    27420
  UDP    0.0.0.0:5353           *:*                                    21856
  UDP    0.0.0.0:5353           *:*                                    27420
  UDP    0.0.0.0:5353           *:*                                    21856
  UDP    0.0.0.0:5353           *:*                                    27420
  UDP    0.0.0.0:5353           *:*                                    3412
  UDP    0.0.0.0:5355           *:*                                    3412
  UDP    0.0.0.0:55339          *:*                                    4152
  UDP    0.0.0.0:55340          *:*                                    4152
  UDP    0.0.0.0:61643          *:*                                    35412
  UDP    127.0.0.1:1900         *:*                                    9572
  UDP    127.0.0.1:7890         *:*                                    11956
  UDP    127.0.0.1:9997         *:*                                    6160
  UDP    127.0.0.1:49664        *:*                                    3960
  UDP    127.0.0.1:54236        *:*                                    31272
  UDP    127.0.0.1:54237        *:*                                    31272
  UDP    127.0.0.1:60702        *:*                                    31272
  UDP    127.0.0.1:60703        *:*                                    31272
  UDP    127.0.0.1:60704        *:*                                    31272
  UDP    127.0.0.1:60705        *:*                                    31272
  UDP    127.0.0.1:60708        *:*                                    31272
  UDP    127.0.0.1:60709        *:*                                    31272
  UDP    127.0.0.1:60710        *:*                                    31272
  UDP    127.0.0.1:60711        *:*                                    31272
  UDP    127.0.0.1:60936        *:*                                    9572
  UDP    172.28.240.1:137       *:*                                    4
  UDP    172.28.240.1:138       *:*                                    4
  UDP    172.28.240.1:1900      *:*                                    9572
  UDP    172.28.240.1:60934     *:*                                    9572
  UDP    192.168.247.144:137    *:*                                    4
  UDP    192.168.247.144:138    *:*                                    4
  UDP    192.168.247.144:1900   *:*                                    9572
  UDP    192.168.247.144:60935  *:*                                    9572
  UDP    [::]:123               *:*                                    15476
  UDP    [::]:1053              *:*                                    11956
  UDP    [::]:5353              *:*                                    21856
  UDP    [::]:5353              *:*                                    27420
  UDP    [::]:5353              *:*                                    27420
  UDP    [::]:5353              *:*                                    21856
  UDP    [::]:5353              *:*                                    3412
  UDP    [::]:5355              *:*                                    3412
  UDP    [::]:55341             *:*                                    4152
  UDP    [::1]:1900             *:*                                    9572
  UDP    [::1]:60933            *:*                                    9572
  UDP    [fe80::b17c:ac16:de4b:69e%39]:1900  *:*                                    9572
  UDP    [fe80::b17c:ac16:de4b:69e%39]:60931  *:*                                    9572
  UDP    [fe80::e729:ebb8:eb25:d185%9]:1900  *:*                                    9572
  UDP    [fe80::e729:ebb8:eb25:d185%9]:60932  *:*                                    9572
